0	17	1
0	6	1
0	24	1
0	14	1
0	0	1
0	8	1
0	1	1
0	15	1
0	10	1
0	22	1
0	20	1
0	23	1
0	18	1
0	16	1
0	5	1
1	24	1
1	16	1
1	10	1
1	25	1
1	15	1
1	0	1
1	7	1
1	8	1
1	26	1
1	17	1
1	14	1
1	6	1
1	1	1
1	22	1
1	23	1
1	21	1
2	8	1
2	22	1
2	20	1
2	23	1
2	5	1
2	15	1
2	1	1
2	18	1
2	10	1
2	17	1
2	24	1
2	16	1
2	6	1
2	0	1
2	14	1
3	15	1
3	7	1
3	22	1
3	0	1
3	26	1
3	10	1
3	14	1
3	25	1
3	1	1
3	17	1
3	24	1
3	6	1
3	23	1
3	8	1
3	21	1
3	16	1
4	8	1
4	13	1
4	23	1
4	24	1
4	4	1
4	18	1
4	2	1
4	3	1
4	11	1
4	19	1
4	15	1
4	1	1
4	22	1
4	25	1
4	12	1
4	9	1
5	16	1
5	6	1
5	22	1
5	10	1
