0	15	1
0	10	1
0	24	1
0	5	1
0	1	1
0	25	1
0	6	1
0	2	1
0	3	1
0	11	1
0	4	1
1	4	1
1	3	1
1	1	1
1	25	1
1	2	1
1	11	1
1	10	1
1	15	1
1	8	1
1	6	1
1	24	1
2	9	1
2	2	1
2	0	1
2	13	1
2	18	1
2	12	1
2	17	1
2	20	1
2	3	1
2	21	1
2	23	1
2	1	1
2	19	1
2	14	1
2	22	1
2	7	1
2	24	1
2	4	1
2	11	1
2	16	1
2	6	1
3	18	1
3	2	1
3	21	1
3	4	1
3	9	1
3	16	1
3	14	1
3	22	1
3	7	1
3	6	1
3	19	1
3	13	1
3	1	1
3	20	1
3	17	1
3	12	1
3	23	1
3	11	1
3	3	1
3	24	1
3	0	1
4	24	1
4	2	1
4	5	1
4	25	1
4	15	1
4	10	1
4	4	1
4	11	1
4	6	1
4	1	1
4	3	1
5	24	1
5	1	1
5	2	1
5	3	1
