0	54	1
0	11	1
0	14	1
0	6	1
0	35	1
0	19	1
0	50	1
0	16	1
0	1	1
0	51	1
0	8	1
0	45	1
0	17	1
0	12	1
0	40	1
0	59	1
0	24	1
0	42	1
0	18	1
0	52	1
0	20	1
0	30	1
0	2	1
0	58	1
0	34	1
0	44	1
0	22	1
0	23	1
0	27	1
0	10	1
0	25	1
0	49	1
0	3	1
0	46	1
0	33	1
0	41	1
0	0	1
0	13	1
0	21	1
0	55	1
0	57	1
0	56	1
0	32	1
0	53	1
0	7	1
0	39	1
0	48	1
0	9	1
0	4	1
0	26	1
0	31	1
0	36	1
0	60	1
1	41	1
1	0	1
1	18	1
1	48	1
1	3	1
1	12	1
1	45	1
1	21	1
1	59	1
1	34	1
1	44	1
1	40	1
1	9	1
1	49	1
1	54	1
1	25	1
1	32	1
1	14	1
1	46	1
1	56	1
1	2	1
1	51	1
1	13	1
1	30	1
1	39	1
1	24	1
1	1	1
1	6	1
1	52	1
1	10	1
1	20	1
1	22	1
1	31	1
1	60	1
1	27	1
1	11	1
1	50	1
1	26	1
1	53	1
1	7	1
1	23	1
1	42	1
1	33	1
1	57	1
1	58	1
1	8	1
1	19	1
1	35	1
1	16	1
1	4	1
1	55	1
1	17	1
1	36	1
2	15	1
2	37	1
2	9	1
2	36	1
2	26	1
2	4	1
2	32	1
2	22	1
2	12	1
2	8	1
3	4	1
3	9	1
3	15	1
3	26	1
3	12	1
3	36	1
3	32	1
3	37	1
3	8	1
3	22	1
4	47	1
4	12	1
4	28	1
4	22	1
4	26	1
4	4	1
4	32	1
4	43	1
4	29	1
4	5	1
4	57	1
4	38	1
4	8	1
4	59	1
5	35	1
5	4	1
5	12	1
5	36	1
