0	23	1
0	3	1
0	2	1
0	5	1
0	9	1
0	1	1
0	20	1
0	13	1
0	25	1
0	24	1
0	16	1
0	19	1
0	17	1
0	12	1
0	7	1
1	1	1
1	18	1
1	25	1
1	6	1
1	10	1
1	15	1
1	22	1
1	4	1
1	16	1
1	12	1
1	8	1
1	24	1
1	21	1
1	2	1
1	9	1
1	23	1
1	5	1
1	19	1
1	7	1
1	14	1
1	11	1
1	0	1
2	7	1
2	24	1
2	5	1
2	9	1
2	19	1
2	16	1
2	23	1
2	22	1
2	25	1
2	2	1
2	10	1
2	12	1
2	1	1
2	4	1
3	9	1
3	1	1
3	16	1
3	5	1
3	12	1
3	2	1
3	25	1
3	23	1
3	19	1
3	7	1
3	24	1
3	17	1
4	14	1
4	25	1
4	19	1
4	4	1
4	0	1
4	5	1
4	7	1
4	12	1
4	11	1
4	8	1
4	2	1
4	1	1
4	6	1
4	16	1
4	18	1
4	23	1
4	10	1
4	24	1
4	9	1
4	15	1
4	22	1
5	5	1
5	23	1
5	13	1
5	9	1
