0	36	1
0	24	1
0	32	1
0	34	1
0	35	1
0	37	1
0	0	1
0	30	1
0	11	1
0	22	1
0	20	1
0	29	1
0	8	1
0	26	1
0	17	1
0	16	1
0	14	1
0	25	1
0	23	1
0	12	1
0	18	1
0	27	1
0	15	1
0	38	1
0	2	1
0	19	1
0	13	1
0	33	1
0	7	1
0	31	1
0	3	1
0	39	1
1	7	1
1	22	1
1	15	1
1	30	1
1	13	1
1	31	1
1	14	1
1	36	1
1	33	1
1	17	1
1	2	1
1	3	1
1	35	1
1	32	1
1	24	1
1	11	1
1	34	1
1	26	1
1	27	1
1	25	1
1	29	1
1	38	1
1	23	1
1	18	1
1	37	1
1	8	1
1	19	1
1	12	1
1	16	1
1	0	1
2	11	1
2	8	1
2	32	1
2	17	1
2	22	1
2	13	1
2	15	1
2	12	1
2	25	1
2	7	1
2	3	1
2	33	1
2	0	1
2	31	1
2	18	1
2	27	1
2	34	1
2	26	1
2	36	1
2	35	1
2	14	1
2	23	1
2	24	1
2	30	1
2	29	1
2	38	1
2	37	1
2	16	1
2	19	1
2	2	1
3	28	1
3	11	1
3	3	1
3	9	1
3	5	1
3	10	1
3	6	1
3	15	1
3	4	1
3	33	1
3	16	1
3	34	1
3	13	1
3	12	1
3	38	1
3	37	1
3	7	1
3	17	1
3	24	1
3	29	1
3	31	1
3	8	1
3	35	1
3	32	1
3	2	1
3	27	1
3	21	1
3	26	1
3	18	1
3	14	1
3	19	1
3	1	1
4	27	1
4	25	1
4	7	1
4	33	1
4	8	1
4	35	1
4	0	1
4	38	1
4	22	1
4	29	1
4	16	1
4	26	1
4	31	1
4	15	1
4	24	1
4	11	1
4	14	1
4	37	1
4	2	1
4	3	1
4	19	1
4	34	1
4	18	1
4	32	1
4	13	1
4	17	1
4	36	1
4	12	1
4	30	1
4	23	1
5	33	1
5	17	1
5	11	1
5	20	1
