0	13	1
0	20	1
0	10	1
0	12	1
0	21	1
0	24	1
0	15	1
0	26	1
0	5	1
0	7	1
0	2	1
0	25	1
0	22	1
0	6	1
0	17	1
0	11	1
0	1	1
1	31	1
1	10	1
1	13	1
1	26	1
1	25	1
1	21	1
1	17	1
1	6	1
1	29	1
1	15	1
1	11	1
1	20	1
1	22	1
1	12	1
1	7	1
1	2	1
2	15	1
2	6	1
2	4	1
2	17	1
2	20	1
2	26	1
2	7	1
2	22	1
2	13	1
2	25	1
2	2	1
2	12	1
2	21	1
2	29	1
3	6	1
3	2	1
3	7	1
3	0	1
3	12	1
3	15	1
3	29	1
3	13	1
3	17	1
3	8	1
3	25	1
3	22	1
3	1	1
3	16	1
3	19	1
3	23	1
3	10	1
3	20	1
3	21	1
3	9	1
3	24	1
3	11	1
3	26	1
4	12	1
4	25	1
4	10	1
4	20	1
4	7	1
4	21	1
4	6	1
4	17	1
4	14	1
4	15	1
4	27	1
4	11	1
4	1	1
4	18	1
4	13	1
4	2	1
4	26	1
4	22	1
5	30	1
5	28	1
5	6	1
5	3	1
